station name,venue id,venue name,venue address,venue latitude,venue longitude,venue categories
Neustadt-Hohenacker,5154cddae4b0a18e4141b972,Samba,,48.873925227701456,9.328368275881054,Nightclub
Neustadt-Hohenacker,50fb1187e4b0b707d1b2390a,Lokus,,48.83687754497671,9.325723056342811,Public Art
Neustadt-Hohenacker,4e64fb671495676d56d0849a,Gasthaus Lamm,,48.85775447331708,9.296395628895075,German Restaurant
Schwaikheim,527b774f498ef2ccc48045c2,Volvo Krämer,Dammstrasse 2,48.868959045348255,9.361299558794185,Auto Dealership
Schwaikheim,4f3764ede4b0a1f196d8ba9f,S Schwaikheim,Fritz-Müller-Allee 4,48.86840096172525,9.354810529794614,Light Rail Station
Schwaikheim,4fc8e4b7e4b08eb1f59c61fa,Best Döner Kebap,,48.87234240505174,9.352984459327166,Doner Restaurant
Schwaikheim,4bd1ec0d2572ce72145111ad,Hotel Le Village Winnenden,Max Eyth Strasse 41,48.87178652720729,9.381195002267301,Hotel
Schwaikheim,4c9cf439604c76b057187d7b,Gasthaus Adler,Goethestraße 10,48.873836,9.353294,German Restaurant
Schwaikheim,4ba46b77f964a520359c38e3,Avia Tankstelle,,48.87376537322072,9.343246879676911,Gas Station
Schwaikheim,50d3a33be4b0eb1954be43e0,Petrula,,48.869049072265625,9.35369873046875,Bar
Schwaikheim,50804874e4b0e24bb1db0f00,Shell,Waiblinger Str. 84,48.87253033,9.38698017,Gas Station
Schwaikheim,50d87e22e4b02e4088fc5289,Matthäus Gemeinde,,48.86569,9.351776,Church
Schwaikheim,4c817265d4e237042f035e88,Volksbank Leutenbach,,48.878052,9.380717,Unknown
Stetten-Beinstein,4e8167b07ee6477bdbfc6049,S Stetten-Beinstein,Liedhornstr. 18,48.81187180145878,9.352155173294383,Light Rail Station
Stetten-Beinstein,57668d99498ec1d7f88f38d6,Rialto Brücke,,48.81737,9.348477,Bridge
Stetten-Beinstein,507ab648e4b06fd3aa77041f,steybe,,48.814108,9.354434,Toy / Game Store
Stetten-Beinstein,4fbbe41ae4b0e5d95c004c6c,"Weinstadt, Stuttgart",,48.81230214818463,9.364172317062778,Housing Development
Stetten-Beinstein,524eb416498ef210d4fc973a,Flying Grandma Service,Irisweg 2,48.81006036559919,9.352243623053903,Residential Building (Apartment / Condo)
Stetten-Beinstein,4ed0f9d9e3007feb7e1f0c5c,Gassirunde Weinstadt,,48.811010697212005,9.351227047494621,Dog Run
Stetten-Beinstein,5238304711d29d06655495ed,Fischer Mühle,Muellergasse,48.810946336638395,9.364579714972267,Gourmet Shop
Stetten-Beinstein,4c64e205f67ec9281f4f5627,S Endersbach,Bahnhofstr. 21,48.81323152287862,9.370235233005248,Light Rail Station
Stetten-Beinstein,4c250e0ba852c928ab30e46c,Manus World Poker Series,Pestalozzi Str.3,48.809289,9.368107,Unknown
Stetten-Beinstein,4c8d3bfff0ce236aca421fef,Sparkasse,Rathaustraße,48.82217,9.345493,Unknown
Geradstetten,4c929339d84a6dcbbbda3587,S Geradstetten,Badstr. 12,48.805252386254956,9.439616203308105,Light Rail Station
Geradstetten,5deeab4c71441b0007e9fbad,La Fontana,,48.805696,9.440767,Italian Restaurant
Geradstetten,4e089f962271dfa46bb61020,RE 19462 Schorndorf - Stuttgart,,48.80514631625496,9.438220003754424,Unknown
Geradstetten,4d185ee125cda143bf3c7ed6,PENNY,Alfred-Klingele-Straße 1,48.805736516404174,9.439217189864962,Supermarket
Geradstetten,4d624ad2196ba09373a22e56,OIL! Tankstelle,Alfred-Klingele-Str. 10,48.806773,9.438722,Gas Station
Geradstetten,4c2a33e02219c9284eb9a248,Stegwiesenhalle Geradstetten,,48.80557715047173,9.441099690358254,College Stadium
Geradstetten,4c1dc7c3b489b71390a3a9c7,Freibad Geradstetten,Stegwiesenweg 5,48.80530891607253,9.441976547241211,Pool
Geradstetten,4e95d63593addf31e99eaf35,Smiling Faces - Proberaum,Stegwiesenweg,48.80440443134446,9.446310997009277,General Entertainment
Geradstetten,522e4b7793cd54873f90b39c,Freie Waldorfschule Engelberg,Rudolf-Steiner-Weg 4,48.79183557080084,9.467923157004911,General College & University
Geradstetten,4c73f6581b30a093ff4aeb09,KSK Geradstetten,,48.809571,9.443416,Unknown
Grunbach,511ac865a629ec8f68cf3a04,S Grunbach,Bahnhofstr. 74,48.81057819990434,9.419375380690791,Light Rail Station
Grunbach,4c93ea996b35a143ff7816dc,Adastra,Strohstraße 13,48.74211636274781,9.309385467634504,Bar
